QID:56dde27d9a695914005b9651	SP:catholicism christianity	CP:catholicism	Q:What was the Norman religion?	C:The descendants of Rollo's Vikings and their Frankish wives would replace the Norse religion and Old Norse language with Catholicism (Christianity) and the Gallo-Romance language of the local people, blending their maternal Frankish heritage with Old Norse traditions and customs to synthesize a unique "Norman" culture in the north of France. The Norman language was forged by the adoption of the indigenous langue d'oïl branch of Romance by a Norse-speaking ruling class, and it developed into the regional language that survives today.	A:[{'text': 'Catholicism', 'answer_start': 121}, {'text': 'Catholicism', 'answer_start': 121}, {'text': 'Catholicism', 'answer_start': 121}]
QID:56de0ffd4396321400ee258f	SP:byzantine general alexius komnenos	CP:alexius komnenos	Q:Who ruined Roussel de Bailleul's plans for an independent state?	C:One of the first Norman mercenaries to serve as a Byzantine general was Hervé in the 1050s. By then however, there were already Norman mercenaries serving as far away as Trebizond and Georgia. They were based at Malatya and Edessa, under the Byzantine duke of Antioch, Isaac Komnenos. In the 1060s, Robert Crispin led the Normans of Edessa against the Turks. Roussel de Bailleul even tried to carve out an independent state in Asia Minor with support from the local population, but he was stopped by the Byzantine general Alexius Komnenos.	A:[{'text': 'Alexius Komnenos', 'answer_start': 522}, {'text': 'Alexius Komnenos', 'answer_start': 522}, {'text': 'Alexius Komnenos', 'answer_start': 522}]
QID:56de17f9cffd8e1900b4b5e1	SP:edgar	CP:king malcolm iii	Q:Who was Margaret's husband?	C:One of the claimants of the English throne opposing William the Conqueror, Edgar Atheling, eventually fled to Scotland. King Malcolm III of Scotland married Edgar's sister Margaret, and came into opposition to William who had already disputed Scotland's southern borders. William invaded Scotland in 1072, riding as far as Abernethy where he met up with his fleet of ships. Malcolm submitted, paid homage to William and surrendered his son Duncan as a hostage, beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England.	A:[{'text': 'King Malcolm III of Scotland', 'answer_start': 120}, {'text': 'King Malcolm III', 'answer_start': 120}, {'text': 'King Malcolm III', 'answer_start': 120}]
QID:56de3f784396321400ee26fa	SP:	CP:storm	Q:What ruined Richard's plans to reach Acre?	C:In April 1191 Richard the Lion-hearted left Messina with a large fleet in order to reach Acre. But a storm dispersed the fleet. After some searching, it was discovered that the boat carrying his sister and his fiancée Berengaria was anchored on the south coast of Cyprus, together with the wrecks of several other ships, including the treasure ship. Survivors of the wrecks had been taken prisoner by the island's despot Isaac Komnenos. On 1 May 1191, Richard's fleet arrived in the port of Limassol on Cyprus. He ordered Isaac to release the prisoners and the treasure. Isaac refused, so Richard landed his troops and took Limassol.	A:[{'text': 'a storm', 'answer_start': 99}, {'text': 'a storm', 'answer_start': 99}, {'text': 'a storm', 'answer_start': 99}]
QID:56de4a89cffd8e1900b4b7be	SP:rounded arches	CP:rounded	Q:What kind of arches does Norman architecture have?	C:Norman architecture typically stands out as a new stage in the architectural history of the regions they subdued. They spread a unique Romanesque idiom to England and Italy, and the encastellation of these regions with keeps in their north French style fundamentally altered the military landscape. Their style was characterised by rounded arches, particularly over windows and doorways, and massive proportions.	A:[{'text': 'rounded', 'answer_start': 332}, {'text': 'rounded', 'answer_start': 332}, {'text': 'rounded', 'answer_start': 332}]
QID:56de4c324396321400ee27ad	SP:odo bishop of bayeux and first earl of kent	CP:odo	Q:Who commissioned the Tapestry?	C:By far the most famous work of Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery. It was commissioned by Odo, the Bishop of Bayeux and first Earl of Kent, employing natives from Kent who were learned in the Nordic traditions imported in the previous half century by the Danish Vikings.	A:[{'text': 'Odo', 'answer_start': 139}, {'text': 'Odo', 'answer_start': 139}, {'text': 'Odo', 'answer_start': 139}]
QID:56e19557e3433e1400422fee	SP:	CP:arbitrary	Q:What kind of graph is an example of an input used in a decision problem?	C:An example of a decision problem is the following. The input is an arbitrary graph. The problem consists in deciding whether the given graph is connected, or not. The formal language associated with this decision problem is then the set of all connected graphs—of course, to obtain a precise definition of this language, one has to decide how graphs are encoded as binary strings.	A:[{'text': 'arbitrary graph', 'answer_start': 67}, {'text': 'arbitrary', 'answer_start': 67}, {'text': 'arbitrary', 'answer_start': 67}]
QID:56e19724cd28a01900c679fa	SP:output is more complex	CP:complex	Q:Is the output of a functional problem typically characterized by a simple or complex answer?	C:A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no. Notable examples include the traveling salesman problem and the integer factorization problem.	A:[{'text': 'complex', 'answer_start': 142}, {'text': 'complex', 'answer_start': 142}, {'text': 'complex', 'answer_start': 142}]
QID:56e1a0dccd28a01900c67a2f	SP:this set	CP:set of triples	Q:If two integers are multiplied and output a value, what is this expression set called?	C:It is tempting to think that the notion of function problems is much richer than the notion of decision problems. However, this is not really the case, since function problems can be recast as decision problems. For example, the multiplication of two integers can be expressed as the set of triples (a, b, c) such that the relation a × b = c holds. Deciding whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers.	A:[{'text': 'set of triples', 'answer_start': 284}, {'text': 'triple', 'answer_start': 374}, {'text': 'the set of triples (a, b, c) such that the relation a × b = c holds', 'answer_start': 280}]
QID:56e1a38de3433e140042305d	SP:space required	CP:instance	Q:What is one variable on which the running time may be contingent?	C:To measure the difficulty of solving a computational problem, one may wish to see how much time the best algorithm requires to solve the problem. However, the running time may, in general, depend on the instance. In particular, larger instances will require more time to solve. Thus the time required to solve a problem (or the space required, or any measure of complexity) is calculated as a function of the size of the instance. This is usually taken to be the size of the input in bits. Complexity theory is interested in how algorithms scale with an increase in the input size. For instance, in the problem of finding whether a graph is connected, how much more time does it take to solve a problem for a graph with 2n vertices compared to the time taken for a graph with n vertices?	A:[{'text': 'the instance', 'answer_start': 199}, {'text': 'the instance', 'answer_start': 199}, {'text': 'the size of the instance', 'answer_start': 405}]
